Period,Interest_due A ,Interest_paid A,Interest_shortfall A,Principal_paid A,Balance A,Interest_due B,Interest_paid B,Interest_shortfall B,Principal_paid B,Balance B,Reserve Account
24,60409.981505351454,60409.981505351454,0.0,407833.6903295526,14090561.870954795,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5449641.184447727
25,58710.67446231165,58710.67446231165,0.0,412593.0271301003,13677968.843824694,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5628670.417745569
26,56991.536849269556,56991.536849269556,0.0,417382.8059865423,13260586.037838152,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5804715.447301546
27,55252.44182432563,55252.44182432563,0.0,422191.5937229987,12838394.444115153,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5982468.523484935
28,53493.31018381313,53493.31018381313,0.0,426577.5703713789,12411816.873743774,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6161994.421004789
29,51715.90364059906,51715.90364059906,0.0,430498.57610750437,11981318.29763627,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6317659.086031821
30,49922.15957348446,49922.15957348446,0.0,435897.1421112793,11545421.155524991,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6462855.641643276
31,48105.92148135413,48105.92148135413,0.0,440805.24193510186,11104615.91358989,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6610758.995634351
32,46269.232973291204,46269.232973291204,0.0,446378.2382941247,10658237.675295765,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6748511.766121564
33,44409.323647065685,44409.323647065685,0.0,451449.03072372644,10206788.644572038,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6885118.038493074
34,42528.28601905016,42528.28601905016,0.0,456681.0388287955,9750107.605743242,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7016853.434284108
35,40625.44835726351,40625.44835726351,0.0,461640.3018089633,9288467.30393428,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7148882.831503828
36,38701.94709972617,38701.94709972617,0.0,467349.28139263863,8821118.02254164,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7260924.398259127
37,36754.658427256836,36754.658427256836,0.0,473834.0509986568,8347283.971542984,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7368428.484080875
38,34780.3498814291,34780.3498814291,0.0,479527.15320225706,7867756.818340728,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7475702.555847041
39,32782.3200764197,32782.3200764197,0.0,484586.9514752307,7383169.866865497,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7580277.538778149
40,30763.207778606236,30763.207778606236,0.0,490500.8019713447,6892669.064894153,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7677840.669890291
41,28719.45443705897,28719.45443705897,0.0,497311.1214781746,6395357.943415979,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7765479.555279763
42,26647.324764233246,26647.324764233246,0.0,502946.9808801576,5892410.962535821,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7848047.968348261
43,24551.712343899253,24551.712343899253,0.0,508546.7310827215,5383864.231453098,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7929283.031375366
44,22432.767631054576,22432.767631054576,0.0,514255.04515496304,4869609.186298136,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8008990.98100481
45,20290.03827624223,20290.03827624223,0.0,521173.4161212337,4348435.770176902,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8076001.128896454
46,18118.482375737094,18118.482375737094,0.0,528238.6136333984,3820197.1565435044,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8140172.076700283
47,15917.488152264601,15917.488152264601,0.0,533755.6730451583,3286441.483498346,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8211432.660668807
48,13693.506181243109,13693.506181243109,0.0,539407.5769982544,2747033.90650009,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8269178.586265339
49,11445.97461041704,11445.97461041704,0.0,546177.3373000484,2200856.5692000426,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8318088.750746106
50,9170.235705000177,9170.235705000177,0.0,552721.7047941022,1648134.8644059412,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8357838.971450272
51,6867.228601691421,6867.228601691421,0.0,515577.42674709705,1132557.4376588427,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8394709.022828054
52,4718.989323578511,4718.989323578511,0.0,506371.107285331,626186.3303735107,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8426672.918308716
53,2609.109709889628,2609.109709889628,0.0,490905.23515699815,135281.09521651268,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,8461065.277158437
54,563.6712300688029,563.6712300688029,0.0,135281.09521651268,0,37805.83242366666,37805.83242366666,0.0,337410.5435424758,5333464.3200075235,8480279.846878557
55,0.0,0,0,0,0,35556.42880005016,35556.42880005016,0.0,446132.67443110346,4887331.645576419,8506251.919866268
56,0.0,0,0,0,0,32582.210970509463,32582.210970509463,0.0,422640.7157792225,4464690.929797197,8524631.233318923
57,0.0,0,0,0,0,29764.60619864798,29764.60619864798,0.0,396975.590284128,4067715.339513069,8538848.434055619
58,0.0,0,0,0,0,27118.10226342046,27118.10226342046,0.0,360133.6375876893,3707581.70192538,8552793.468443424
59,0.0,0,0,0,0,24717.211346169202,24717.211346169202,0.0,324565.3370748013,3383016.364850579,8555807.559750615
60,0.0,0,0,0,0,22553.442432337193,22553.442432337193,0.0,295738.58174650563,3087277.7831040733,8556467.983591242
61,0.0,0,0,0,0,20581.851887360488,20581.851887360488,0.0,253553.22613109145,2833724.556972982,8580779.898833908
62,0.0,0,0,0,0,18891.497046486547,18891.497046486547,0.0,215137.14328792726,2618587.4136850545,8589222.164743831
63,0.0,0,0,0,0,17457.24942456703,17457.24942456703,0.0,179232.68809929717,2439354.7255857573,8603321.558539866
64,0.0,0,0,0,0,16262.364837238383,16262.364837238383,0.0,154859.77639109842,2284494.949194659,8609410.9444269
65,0.0,0,0,0,0,15229.966327964394,15229.966327964394,0.0,125884.37375991255,2158610.5754347467,8607969.578391794
66,0.0,0,0,0,0,14390.737169564978,14390.737169564978,0.0,108055.47101525775,2050555.104419489,8610604.985356497
67,0.0,0,0,0,0,13670.367362796595,13670.367362796595,0.0,88695.35902144223,1961859.745398047,8621589.12030024
68,0.0,0,0,0,0,13079.064969320314,13079.064969320314,0.0,72510.89894360243,1889348.8464544443,8626701.423159521
69,0.0,0,0,0,0,12595.658976362964,12595.658976362964,0.0,54133.462749922735,1835215.3837045217,8633663.481302334
70,0.0,0,0,0,0,12234.769224696813,12234.769224696813,0.0,45118.87995574711,1790096.5037487745,8632195.224557234
71,0.0,0,0,0,0,11933.976691658498,11933.976691658498,0.0,29150.308750491316,1760946.1949982834,8635045.248096386
72,0.0,0,0,0,0,11739.641299988556,11739.641299988556,0.0,0.0,1760946.1949982834,8641499.670306263
