Period,Interest_due A ,Interest_paid A,Interest_shortfall A,Principal_paid A,Balance A,Interest_due B,Interest_paid B,Interest_shortfall B,Principal_paid B,Balance B,Reserve Account
59,12306.911886677859,12306.911886677859,0.0,258915.33610937046,2694743.5166933164,31229.21888986756,31229.21888986756,0.0,12945.766805468513,4671437.066674666,12139645.094072731
60,11228.097986222152,11228.097986222152,0.0,233957.2410583947,2460786.275634922,31142.913777831105,31142.913777831105,0.0,11697.862052919721,4659739.204621745,12170624.134391734
61,10253.276148478843,10253.276148478843,0.0,199273.44527687732,2261512.8303580433,31064.928030811636,31064.928030811636,0.0,9963.672263843862,4649775.532357902,12197523.099267734
62,9422.970126491848,9422.970126491848,0.0,166262.87405369044,2095249.9563043527,30998.503549052683,30998.503549052683,0.0,8313.14370268452,4641462.388655217,12216401.47791037
63,8730.208151268136,8730.208151268136,0.0,138512.9923159724,1956736.9639883786,30943.082591034785,30943.082591034785,0.0,6925.649615798618,4634536.739039419,12232127.231508596
64,8153.070683284911,8153.070683284911,0.0,119883.2949278109,1836853.6690605693,30896.91159359613,30896.91159359613,0.0,5994.164746390539,4628542.574293029,12245190.946272131
65,7653.556954419038,7653.556954419038,0.0,96608.99428342807,1740244.6747771427,30856.95049528686,30856.95049528686,0.0,4830.449714171401,4623712.124578857,12251495.85914408
66,7251.019478238094,7251.019478238094,0.0,81161.34722733169,1659083.3275498115,30824.74749719238,30824.74749719238,0.0,4058.0673613665804,4619654.05721749,12243599.356268663
67,6912.847198124215,6912.847198124215,0.0,66091.88218344463,1592991.4453663677,30797.69371478327,30797.69371478327,0.0,3304.594109172229,4616349.463108318,12248454.742629053
68,6637.464355693199,6637.464355693199,0.0,54721.04621441922,1538270.3991519473,30775.663087388788,30775.663087388788,0.0,2736.052310720961,4613613.410797597,12236818.078439532
69,6409.459996466448,6409.459996466448,0.0,38828.23781356273,1499442.1613383852,30757.422738650646,30757.422738650646,0.0,1941.4118906781341,4611671.998906919,12217585.068344576
70,6247.675672243272,6247.675672243272,0.0,33851.897916667265,1465590.263421718,30744.479992712793,30744.479992712793,0.0,1692.5948958333627,4609979.404011086,12208931.877486238
71,6106.626097590492,6106.626097590492,0.0,21472.923294882276,1444117.3401268348,30733.196026740574,30733.196026740574,0.0,1073.6461647441138,4608905.7578463415,12193494.90558098
72,6017.1555838618115,6017.1555838618115,0.0,0.0,1444117.3401268348,30726.038385642278,30726.038385642278,0.0,0.0,4608905.7578463415,12165606.11540272
