,Ticker,Position,Date,Company Name,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily return,1-week (5-day) moving average daily return,Rolling cumulative sum of volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L
0,A,1000.0,2020-07-14,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,89.75140380859375,0.0,89.85036734580264,87.15851685129064,87.91065332485933,0.0,1361200.0,-0.343579403209972,0.7503330619043883,69531936116.0,-343.579403209972,-7733.910666422904,-14678.871316098706
1,AAL,2000.0,2020-07-14,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.569999694824219,0.0,11.84000015258789,11.220000267028809,11.319999694824219,0.0,49888200.0,-0.8710883707234406,0.5012059862586559,69581824316.0,-1742.1767414468811,-8687.137391122684,-16421.048057545588
0,A,1000.0,2020-07-15,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,91.91873931884766,0.0,92.09687671783597,90.13737287939892,90.79053830873313,0.0,1897100.0,-0.3377355584471667,0.798953338616836,72536773943.0,-337.7355584471667,-8071.646224870071,-16758.783615992754
1,AAL,2000.0,2020-07-15,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,13.4399995803833,0.0,13.479999542236328,12.210000038146973,12.449999809265137,0.0,135444400.0,-0.8537838999971199,0.5481836055375411,72672218343.0,-1707.5677999942397,-10394.705191116924,-18466.351415986992
0,A,1000.0,2020-07-16,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,91.89894104003906,0.0,92.24531718612937,91.10721766288945,92.01770181174162,0.0,1226400.0,-0.34955280120916205,0.7588755555390593,75691336757.0,-349.55280120916206,-8421.199026079234,-18815.904217196156
1,AAL,2000.0,2020-07-16,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,12.449999809265137,0.0,13.069999694824219,12.289999961853027,12.800000190734863,0.0,81514000.0,-0.8645251004161099,0.49606595228408706,75772850757.0,-1729.0502008322196,-12123.755391949144,-20544.954418028374
0,A,1000.0,2020-07-17,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,93.393310546875,0.0,93.53186099821832,91.73069758032182,92.44324707319223,0.0,3457700.0,-0.3399934006068854,0.768380850782738,78175392058.0,-339.99340060688536,-8761.192426686119,-20884.94781863526
1,AAL,2000.0,2020-07-17,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.90999984741211,0.0,12.600000381469727,11.890000343322754,12.479999542236328,0.0,67934100.0,-0.872474808124139,0.5044198391211896,78243326158.0,-1744.949616248278,-13868.705008197421,-22629.89743488354
0,A,1000.0,2020-07-20,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,94.22461700439453,0.0,95.22416605780333,93.7792773288459,93.92772640417331,0.0,1236800.0,-0.34203587596557933,0.8019754033787139,80668801662.0,-342.03587596557935,-9103.228302651698,-22971.93331084912
1,AAL,2000.0,2020-07-20,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.470000267028809,0.0,12.510000228881836,11.350000381469727,11.930000305175781,0.0,64109600.0,-0.8782696005387439,0.5296122404803938,80732911262.0,-1756.5392010774879,-15625.24420927491,-24728.472511926608
0,A,1000.0,2020-07-21,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,95.02622985839844,0.0,95.45177984035385,94.17513744492112,94.58089019026455,0.0,2169100.0,-0.34239333704886443,0.834223457256942,83103706452.0,-342.39333704886445,-9445.621639700563,-25070.86584897547
1,AAL,2000.0,2020-07-21,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.470000267028809,0.0,11.789999961853027,11.279999732971191,11.569999694824219,0.0,64509800.0,-0.8792964817806556,0.572520236462817,83168216252.0,-1758.592963561311,-17383.83717283622,-26829.45881253678
0,A,1000.0,2020-07-22,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,95.35282135009766,0.0,95.87733489154456,94.81840918982141,95.362719968927,0.0,1313200.0,-0.3357647183875211,0.7750270754974249,85777698206.0,-335.7647183875211,-9781.386358088084,-27165.2235309243
1,AAL,2000.0,2020-07-22,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.359999656677246,0.0,11.670000076293945,11.300000190734863,11.380000114440918,0.0,42461300.0,-0.8808635182910022,0.5093777434084812,85820159506.0,-1761.7270365820043,-19145.564209418226,-28926.950567506305
0,A,1000.0,2020-07-23,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,95.65960693359375,0.0,97.07479969275536,95.32312188668587,95.59032416033162,0.0,1386300.0,-0.3340867920736424,0.7850267913277599,88391993948.0,-334.0867920736424,-10115.473150161726,-29261.037359579946
1,AAL,2000.0,2020-07-23,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.770000457763672,0.0,12.40999984741211,11.010000228881836,11.270000457763672,0.0,115574800.0,-0.8769595565458017,0.5269462327941722,88507568748.0,-1753.9191130916033,-20899.48332250983,-31014.95647267155
0,A,1000.0,2020-07-24,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,93.8287582397461,0.0,95.224169020634,92.89849193625467,94.98665502298022,0.0,1142800.0,-0.3421168431424784,0.7584037834871358,91526198956.0,-342.11684314247844,-10457.589993304204,-31357.07331581403
1,AAL,2000.0,2020-07-24,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.390000343322754,0.0,11.819999694824219,11.34000015258789,11.670000076293945,0.0,53761400.0,-0.8786086424140918,0.49839568719757565,91579960356.0,-1757.2172848281834,-22656.700607338014,-33114.29060064221
0,A,1000.0,2020-07-27,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.26329803466797,0.0,96.53050789019944,93.91783124963554,93.97720786178303,0.0,1177100.0,-0.32574902566332165,0.7619184054222188,94313367083.0,-325.7490256633216,-10783.339018967525,-33440.03962630554
1,AAL,2000.0,2020-07-27,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.390000343322754,0.0,11.789999961853027,11.180000305175781,11.479999542236328,0.0,69451700.0,-0.8816786815342562,0.49925954539926537,94382818783.0,-1763.3573630685125,-24420.057970406528,-35203.39698937405
